nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,assembly_time_s,first_apply_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,668150.pbs-6,3,211046.5,1.549588002,510047492d1c1e3e3581fd1836a52edb6d22773c,41154,195112,226981,7442,219539,0.572688407,0.001959305,0.001466951,0.00167245,0.001082233,0.001186609,0.001090573,0.00107765
2,668150.pbs-6,3,206998.25,2.996912584,510047492d1c1e3e3581fd1836a52edb6d22773c,82944,389017,438976,11552,427424,0.634168398,0.001616021,0.001846983,0.00157955,0.001567555,0.001649024,0.001526906,0.001476282
4,668150.pbs-6,3,198019.375,4.206581011,510047492d1c1e3e3581fd1836a52edb6d22773c,162000,753571,830584,17672,812912,0.603421889,0.001839659,0.00199885,0.001668124,0.001963851,0.001731606,0.001584407,0.001549398
8,668150.pbs-6,3,197744.1875,6.888260547,510047492d1c1e3e3581fd1836a52edb6d22773c,329232,1520875,1643032,27848,1615184,0.652525983,0.001813943,0.002009197,0.001679217,0.001655632,0.001424653,0.00141909,0.001957796
16,668150.pbs-6,3,196575.53125,12.331987839,510047492d1c1e3e3581fd1836a52edb6d22773c,663552,3048625,3241792,43808,3197984,0.729969774,0.001911292,0.002138445,0.001789852,0.001800355,0.001757533,0.002017995,0.001846255
32,668150.pbs-6,3,199511.046875,25.964022697,510047492d1c1e3e3581fd1836a52edb6d22773c,1361886,6229504,6539203,69938,6469265,0.863649382,0.00255327,0.002948369,0.002524125,0.00242178,0.002312473,0.002512837,0.002550029
64,668150.pbs-6,3,198945.6484375,64.514069829,510047492d1c1e3e3581fd1836a52edb6d22773c,2739198,12487168,12977875,110450,12867425,1.040764461,0.003051477,0.003696107,0.002854295,0.002820594,0.003088573,0.002948845,0.003293244
128,668151.pbs-6,3,197536.96484375,137.463347447,510047492d1c1e3e3581fd1836a52edb6d22773c,5476038,24897088,25672375,174050,25498325,1.118271847,0.003518883,0.00332201,0.002741163,0.002814081,0.003048027,0.003139496,0.003210458
256,668152.pbs-6,3,202754.640625,300.705251134,510047492d1c1e3e3581fd1836a52edb6d22773c,11165202,50653000,53157376,282752,52874624,1.298238612,0.004094694,0.004476085,0.003542228,0.003568329,0.003694832,0.003947987,0.00408788
512,668153.pbs-6,3,201512.4453125,997.196994614,510047492d1c1e3e3581fd1836a52edb6d22773c,22343250,101194696,105154048,445568,104708480,1.272322999,0.004376604,0.004730444,0.003962825,0.003872822,0.003641571,0.004039406,0.00416707
